Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0810c108-6bee-3b45-a44c-e9bbee2c669d,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chanell45 Robel940,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,18
eed12006-0efa-3785-a14f-f7f02b012dbc,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Jeromy156 Okuneva707,M,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,56
a5dd888e-d4a8-3f40-b221-0c3d57540ecf,d692e283-0833-3201-8e55-4f868a9c0736,Eldora89 Langosh790,F,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,63
7e4fa0a0-fb7d-30ea-a8c5-df62c8f304ef,a9f20dc1-5147-3789-bcef-bbecb41c5983,Chance908 Aufderhar910,M,GENERAL PRACTICE,70 EAST STREET,METHUEN,MA,01844,42.742751,-71.178588,107
1e5fbb4f-2e33-3f54-9a76-d3b94e45ab58,3d10019f-c88e-3de5-9916-6107b9c0263d,Sulema841 Ryan260,F,GENERAL PRACTICE,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,335
3e3e51bd-533d-3030-b3d3-068eb8ad1f6e,17e7a87e-f925-37d0-9371-88c67aa7c092,Terrence276 Kiehn525,M,CLINICAL PSYCHOLOGIST,50 ADAMS ST,NEWTON,MA,02460-1461,42.331876,-71.208402,0
3e3e51bd-533d-3030-b3d3-068eb8ad1f6e,17e7a87e-f925-37d0-9371-88c67aa7c092,Cleta89 Kiehn525,F,CLINICAL SOCIAL WORKER,50 ADAMS ST,NEWTON,MA,02460-1461,42.331876,-71.208402,0
3e3e51bd-533d-3030-b3d3-068eb8ad1f6e,17e7a87e-f925-37d0-9371-88c67aa7c092,Cleta89 Kiehn525,F,GENERAL PRACTICE,50 ADAMS ST,NEWTON,MA,02460-1461,42.331876,-71.208402,67
275312de-0cc8-3085-851b-dd90cff37f97,00065b1c-5e71-3da5-907f-e9fc33eddbbf,María Luisa888 Blanco851,F,OPTOMETRY,170 MAIN ST E,MONSON,MA,01057-1353,42.093596000000005,-72.321494,0
275312de-0cc8-3085-851b-dd90cff37f97,00065b1c-5e71-3da5-907f-e9fc33eddbbf,Horace32 Morissette863,M,GENERAL PRACTICE,170 MAIN ST E,MONSON,MA,01057-1353,42.093596000000005,-72.321494,37
db51fc77-ea3a-3faa-aeaf-e05b92a36b7c,42a836e3-7889-3d7c-b80c-98f1ecb1ae65,Raymon366 Cormier289,M,CHIROPRACTIC,126 MERRIMACK ST,METHUEN,MA,01844-6109,42.742751,-71.178588,0
db51fc77-ea3a-3faa-aeaf-e05b92a36b7c,42a836e3-7889-3d7c-b80c-98f1ecb1ae65,Sharon747 Cormier289,F,GENERAL PRACTICE,126 MERRIMACK ST,METHUEN,MA,01844-6109,42.742751,-71.178588,34
5696912f-43ac-359f-a98d-49e7a8324e79,bd29062a-b90f-3926-813e-cf4027f7df6c,Dennis979 Russel238,M,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
1c92fff8-6394-3fbb-b4d2-7e8caea9e436,bd29062a-b90f-3926-813e-cf4027f7df6c,Marvis190 Feil794,F,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
651a587d-3530-394b-8c93-a5bcf4fabb1d,bd29062a-b90f-3926-813e-cf4027f7df6c,Xochitl483 Altenwerth646,F,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
b260c745-5434-3274-a6dc-93275952785d,bd29062a-b90f-3926-813e-cf4027f7df6c,Raymundo71 Krajcik437,M,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
b036fb65-3e98-35b0-8356-fa9b8f6f2c44,bd29062a-b90f-3926-813e-cf4027f7df6c,Patricio639 Merino448,M,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
315b7ba5-8d91-3495-9efa-0673b045a3d2,bd29062a-b90f-3926-813e-cf4027f7df6c,Herminia75 Littel644,F,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
9d44ffeb-137c-31a3-873e-b7c6633af8fb,bd29062a-b90f-3926-813e-cf4027f7df6c,Beatriz277 Castro740,F,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
0ff2cac8-683f-3180-bade-e9bf5baf0bc7,bd29062a-b90f-3926-813e-cf4027f7df6c,Chuck784 MacGyver246,M,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
1c99ba30-aeda-31b7-8703-8b22970d41fd,bd29062a-b90f-3926-813e-cf4027f7df6c,Dominique369 Weissnat378,M,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
d2633a4c-c9b9-3953-9fbc-6deff3e49f6e,bd29062a-b90f-3926-813e-cf4027f7df6c,Barabara924 Murazik203,F,CARDIOVASCULAR DISEASE (CARDIOLOGY),300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
5696912f-43ac-359f-a98d-49e7a8324e79,bd29062a-b90f-3926-813e-cf4027f7df6c,Alysa236 Russel238,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
1c92fff8-6394-3fbb-b4d2-7e8caea9e436,bd29062a-b90f-3926-813e-cf4027f7df6c,Marvis190 Feil794,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
651a587d-3530-394b-8c93-a5bcf4fabb1d,bd29062a-b90f-3926-813e-cf4027f7df6c,Xochitl483 Altenwerth646,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
b260c745-5434-3274-a6dc-93275952785d,bd29062a-b90f-3926-813e-cf4027f7df6c,Nikia872 Krajcik437,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
b036fb65-3e98-35b0-8356-fa9b8f6f2c44,bd29062a-b90f-3926-813e-cf4027f7df6c,Lou594 Steuber698,M,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
315b7ba5-8d91-3495-9efa-0673b045a3d2,bd29062a-b90f-3926-813e-cf4027f7df6c,Herminia75 Littel644,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
9d44ffeb-137c-31a3-873e-b7c6633af8fb,bd29062a-b90f-3926-813e-cf4027f7df6c,Moriah648 Botsford977,F,PSYCHIATRY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
5696912f-43ac-359f-a98d-49e7a8324e79,bd29062a-b90f-3926-813e-cf4027f7df6c,Alysa236 Russel238,F,HOSPICE/PALLIATIVE CARE,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
5696912f-43ac-359f-a98d-49e7a8324e79,bd29062a-b90f-3926-813e-cf4027f7df6c,Dennis979 Russel238,M,CLINICAL PSYCHOLOGIST,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
1c92fff8-6394-3fbb-b4d2-7e8caea9e436,bd29062a-b90f-3926-813e-cf4027f7df6c,Neville893 Feil794,M,CLINICAL PSYCHOLOGIST,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
5696912f-43ac-359f-a98d-49e7a8324e79,bd29062a-b90f-3926-813e-cf4027f7df6c,Alysa236 Russel238,F,RHEUMATOLOGY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
1c92fff8-6394-3fbb-b4d2-7e8caea9e436,bd29062a-b90f-3926-813e-cf4027f7df6c,Neville893 Feil794,M,RHEUMATOLOGY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
651a587d-3530-394b-8c93-a5bcf4fabb1d,bd29062a-b90f-3926-813e-cf4027f7df6c,Xochitl483 Altenwerth646,F,RHEUMATOLOGY,300 OCEAN AVE,REVERE,MA,02151-3675,42.421005,-70.99036,0
